timestamp,ft_weight,pos_ft_weight,epoch,train_loss,val_loss,val_acc,val_fp
20230807_180747,0.0,0,15,2.579022467136383,0.21030197483606827,0.960128128528595,9.994492530822754
20230807_180848,0.02,0,13,2.560921831993781,0.21540083768021348,0.9607208967208862,9.857704162597656
20230807_180951,0.04,0,6,2.5408312692376733,0.22697352930011913,0.9530501365661621,9.230042457580566
20230807_181054,0.06,0,13,2.549608276028194,0.23003992336428064,0.9557210803031921,9.326760292053223
20230807_181156,0.08,0,15,2.5769602946091514,0.2289848528866075,0.9573236107826233,9.213536262512207
20230807_181258,0.1,0,13,2.561737244083233,0.21992695067300755,0.960128128528595,8.95430850982666
20230807_181354,0.12,0,14,2.565802034269819,0.24488559970234194,0.9589262008666992,8.940848350524902
20230807_181451,0.14,0,13,2.6103196672504922,0.24773142448602578,0.9582584500312805,8.709182739257812
20230807_181549,0.16,0,15,2.599653437127393,0.2559957943028874,0.9574571847915649,8.595976829528809
20230807_181645,0.18,0,11,2.553607844949024,0.242590985682785,0.9604538083076477,8.27344799041748
20230807_181742,0.2,0,13,2.5946181364181977,0.25840218753641486,0.9588675498962402,8.27211856842041
20230807_181838,0.22,0,8,2.604413633938775,0.2513726084914982,0.962740421295166,8.07436752319336
20230807_181935,0.24,0,14,2.559101877682214,0.28378676330177194,0.9594603776931763,7.7978949546813965
20230807_182031,0.26,0,9,2.559768589456791,0.2780630809501705,0.9549197554588318,7.632853031158447
20230807_182128,0.28,0,12,2.4739458239308263,0.27164310548040604,0.9583920240402222,7.24232292175293
20230807_182225,0.3,0,15,2.5632489867332917,0.2653277651367024,0.9612551331520081,7.6238789558410645
20230807_182321,0.32,0,14,2.53329890034694,0.2873130913855683,0.9591183662414551,7.512644290924072
20230807_182418,0.34,0,15,2.5253965287953934,0.26479741548880553,0.9645351767539978,7.3494038581848145
20230807_182514,0.36,0,14,2.5775246135172547,0.3051047167207441,0.9528416395187378,7.108415126800537
20230807_182611,0.38,0,13,2.5125879281593337,0.2798452772136427,0.9605287313461304,7.0114006996154785
20230807_182708,0.4,0,12,2.4950225045645262,0.2704728743077343,0.9629912376403809,7.0873823165893555
20230807_182804,0.42,0,10,2.4409522883897163,0.30145437340451103,0.9599359631538391,6.630995273590088
20230807_182901,0.44,0,8,2.3912483088720022,0.29486694874671787,0.9604538083076477,6.297145366668701
20230807_182958,0.46,0,14,2.5014994621787388,0.30558636020391416,0.9614635705947876,6.558629512786865
20230807_183055,0.48,0,7,2.3749806044954305,0.31645165702216643,0.9594603776931763,6.010873317718506
20230807_183152,0.5,0,7,2.353903005286509,0.32554190013653195,0.9580662846565247,5.958659648895264
20230807_183249,0.52,0,9,2.3789800895613316,0.31488311379893213,0.9626654982566833,5.913885593414307
20230807_183348,0.54,0,11,2.411067643053271,0.3157319443093406,0.9631996750831604,6.154208183288574
20230807_183445,0.56,0,11,2.399041390776379,0.3108582450156538,0.9656621813774109,5.991342544555664
20230807_183542,0.58,0,8,2.3511778619100503,0.32044343790437424,0.9610629677772522,6.11979341506958
20230807_183639,0.6,0,13,2.4807003338280786,0.3322308822574779,0.9616557359695435,6.172656536102295
20230807_183736,0.62,0,11,2.401097713879906,0.3275039413800606,0.9642094373703003,5.68726921081543
20230807_183833,0.64,0,7,2.440756939718504,0.32154940055985737,0.9630075097084045,5.875371932983398
20230807_183930,0.66,0,14,2.479420367859671,0.30882331665255064,0.9672061204910278,6.08508825302124
20230807_184028,0.68,0,12,2.4113584456913477,0.36681627424863666,0.9621313214302063,5.860586166381836
20230807_184125,0.7000000000000001,0,9,2.3916979738425392,0.3150139337676203,0.9677402973175049,5.899295806884766
20230807_184223,0.72,0,11,2.458494575554605,0.3531612561553971,0.9643430113792419,5.629961013793945
