Dataset,Backbone,Train Accuracy,ZSL Accuracy,Num ZSL Classes,Attributes,,,,,,
GZSL,,,,,,,,,,,
Dataset,Backbone,Seen ACC,Unseen ACC,Harmonic Mean,Attributes,Attributes per class Unseen,Attributes per class Seen,Building examples,,,
CUB,DeiT3Med,0.7829097251097361,0.723348198334376,0.7519513495028618,80,36,25,10,,,
CUB,DeiT3Med,0.8666665474573771,0.46657208998998007,0.6065867145071467,80,25,25,10,,,
CUB,DeiT3Med,0.7419328053792318,0.7411971747875213,0.7415648076474557,80,40,25,10,,,
CUB,DeiT3Med,0.62586696545283,0.7166599412759145,0.6681933605351353,80,50,25,10,,,
CUB,DeiT3Med,0.8708817303180695,0.3943319777647654,0.5428593018264097,80,25,25,5,,,
CUB,DeiT3Med,0.7566343585650126,0.6794503410657247,0.7159681780903783,80,40,25,5,,,
CUB,DeiT3Med,0.650099923213323,0.6674640397230784,0.6586675610109606,80,50,25,5,,,
CUB,DeiT3Med,0.751011848449707,0.7362689450383186,0.7435673260764062,80,30,25,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.8775617380936941,0.24496686458587646,0.38301660545340993,80,20,25,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.5588994979858398,0.7931901037693023,0.6557458177749992,80,40,25,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.6563800990581512,0.7849211096763611,0.7149187034604159,80,35,25,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.4422559827566147,0.7860558807849884,0.5660417787642851,80,45,25,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.8319491744041443,0.4704667627811432,0.6010436415672302,64,21,21,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.8256534934043884,0.5003390312194824,0.6230905055999756,64,21,21,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.8220963478088379,0.4658120572566986,0.5946732759475708,64,21,21,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.8419724106788635,0.4741979241371155,0.6067019701004028,64,21,21,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.8226528167724609,0.43511444330215454,0.5691802501678467,64,21,21,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.800186038017273,0.5871620178222656,0.677319347858429,80,26,26,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.833310317993164,0.5932307362556457,0.6930684427204572,80,25,25,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7875438332557678,0.6223444938659668,0.6952658295631409,80,25,25,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7873311638832092,0.605585515499115,0.6846014261245728,80,25,25,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7921671867370605,0.5942229628562927,0.6790640950202942,80,26,26,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.656891405582428,0.7976759672164917,0.7204704880714417,128,41,41,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7123965620994568,0.762446939945221,0.7365724444389343,128,41,41,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.6584401726722717,0.7997257113456726,0.7222381234169006,128,41,41,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.6891554594039917,0.7966919541358948,0.7390322685241699,128,41,41,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.745048463344574,0.6866393089294434,0.714652419090271,96,31,31,10,using 2*loss_mean_attr,,
