timestamp, ft_weight, pos_ft_weight, epoch, train_loss, val_loss, val_acc, val_fp
20230807_173657,1,0.05,14,12.897790210915836,0.8286662117028848,0.904181718826294,7.048497676849365
20230807_173936,1,0,11,29.614507472489578,0.9284708703685011,0.890351414680481,5.557051181793213
20230807_174049,0,0,3,2.4696006066538794,0.4040630867338588,0.9023283123970032,9.729476928710938
20230807_174200,0.5,0,6,2.357005757233826,0.5438345771314751,0.9167676568031311,5.8448615074157715
20230807_174319,0,1,1,3114.506060694219,12.155289250561315,0.13386297225952148,19.636497497558594
20230807_174433,0,0.1,2,2.4557615569623175,0.4589591679027957,0.8973708152770996,13.384369850158691
20230807_174544,0,0.5,1,867.4853652141334,3.028156235686734,0.4677533209323883,12.343795776367188
20230807_174754,0.1,0,9,2.568434706081415,0.23875228716776922,0.9594603776931763,9.06527328491211
20230807_174934,0.05,0,13,2.528418299345184,0.2261225114393438,0.9599945545196533,9.449189186096191
20230807_175049,0.15,0,13,2.6030880141309294,0.23865583328864512,0.9598610401153564,8.564322471618652
20230807_175205,0.2,0,13,2.546623985568257,0.25102143741061544,0.9604701399803162,8.361766815185547
20230807_175419,0.3,0,15,2.5283955848702018,0.26638795422692585,0.9628576636314392,7.42011833190918
20230807_175528,0.4,0,13,2.5127174576038467,0.31067616957375127,0.9554539918899536,6.934783935546875
20230807_175645,0.45,0,8,2.3948509500419815,0.3149167824632082,0.9610629677772522,6.205214500427246
20230807_175755,0.55,0,9,2.343892207875752,0.30403213979851484,0.9660791158676147,5.842544078826904
20230807_175904,1.0,0,15,3.7411430229211518,0.6422134869628482,0.9353632926940918,5.014359951019287
20230807_180015,0.9,0,14,2.53089213792466,0.37871188065435135,0.9662126302719116,5.789841175079346
20230807_180135,0.95,0,15,2.8626075947310223,0.5814897076696413,0.9553953409194946,4.644057750701904
20230807_180244,1.1,0,15,4.368886236460357,0.810469427679339,0.9286859631538391,4.515883445739746
20230807_180350,1.5,0,12,736.0694200262523,1.7613535100578244,0.8396947979927063,7.2856879234313965
